claim_id,franchise_id,item_category,date_submitted,quantity,unit_price,requested_total,carrier_approved_total,is_approved_fully,submit_month,submit_day_of_week
CLM-26559,Franchise_FL_04,Drywall Repair,2025-12-12,30.0,77.23,2316.9,2316.9,1,12.0,4.0
CLM-95512,Franchise_TX_01,Dehumidifier Rental,,1.0,60.65,60.65,51.29,0,,
CLM-17238,Franchise_NY_12,Baseboard Replacement,,21.0,99.38,2086.98,1823.07,0,,
CLM-90068,Franchise_TX_01,Dehumidifier Rental,,41.0,100.63,4125.83,4125.83,1,,
CLM-47333,Franchise_TX_01,Antimicrobial Treatment,,18.0,136.96,2465.28,2465.28,1,,
CLM-42011,Franchise_TX_01,Baseboard Replacement,,13.0,35.38,459.94,269.86,0,,
CLM-57921,Franchise_NY_12,Dehumidifier Rental,,16.0,47.26,756.16,756.16,1,,
CLM-17570,Franchise_FL_04,Dehumidifier Rental,2025-12-05,49.0,89.94,4407.06,2142.76,0,12.0,4.0
CLM-64522,Franchise_TX_01,Dehumidifier Rental,,11.0,83.39,917.29,531.03,0,,
CLM-71854,Franchise_FL_04,Water Extraction,2025-08-04,15.0,117.52,1762.8,1281.25,0,8.0,0.0
CLM-99654,Franchise_TX_01,Antimicrobial Treatment,,28.0,22.65,634.2,634.2,1,,
CLM-28940,Franchise_NY_12,Dehumidifier Rental,,50.0,24.75,1237.5,1237.5,1,,
CLM-36411,Franchise_FL_04,Antimicrobial Treatment,2025-06-16,45.0,52.76,2374.2,2374.2,1,6.0,0.0
CLM-67162,Franchise_FL_04,Antimicrobial Treatment,2025-06-24,39.0,96.57,3766.23,3766.23,1,6.0,1.0
CLM-63961,Franchise_FL_04,Water Extraction,2025-02-13,34.0,102.3,3478.2,1471.44,0,2.0,3.0
CLM-63742,Franchise_TX_01,Dehumidifier Rental,,1.0,23.0,23.0,23.0,1,,
CLM-92929,Franchise_FL_04,Baseboard Replacement,2025-12-09,44.0,38.15,1678.6,896.56,0,12.0,1.0
CLM-66128,Franchise_FL_04,Dehumidifier Rental,2025-01-28,23.0,37.22,856.06,856.06,1,1.0,1.0
CLM-73828,Franchise_NY_12,Baseboard Replacement,,10.0,124.42,1244.2,1050.2,0,,
CLM-35261,Franchise_TX_01,Antimicrobial Treatment - MISC,,24.0,67.26,1614.24,1614.24,1,,
CLM-90039,Franchise_NY_12,Drywall Repair,,8.0,84.73,677.84,460.3,0,,
CLM-87933,Franchise_FL_04,Water Extraction,2025-07-03,25.0,72.45,1811.25,1811.25,1,7.0,3.0
CLM-81917,Franchise_NY_12,Water Extraction,,27.0,22.68,612.36,612.36,1,,
CLM-59741,Franchise_TX_01,Dehumidifier Rental - MISC,,21.0,123.3,2589.3,1170.75,0,,
CLM-19376,Franchise_TX_01,Dehumidifier Rental,,41.0,91.86,3766.26,2139.61,0,,
CLM-56973,Franchise_TX_01,Water Extraction,,1.0,119.08,119.08,119.08,1,,
CLM-48129,Franchise_NY_12,Water Extraction,,49.0,145.51,7129.99,7129.99,1,,
CLM-47757,Franchise_TX_01,Baseboard Replacement,,25.0,71.78,1794.5,1414.58,0,,
CLM-63145,Franchise_FL_04,Baseboard Replacement,2025-11-27,12.0,38.57,462.84,462.84,1,11.0,3.0
CLM-43716,Franchise_TX_01,Dehumidifier Rental,,3.0,44.93,134.79,98.17,0,,
CLM-65283,Franchise_NY_12,Water Extraction,,23.0,51.15,1176.45,728.49,0,,
CLM-86547,Franchise_TX_01,Water Extraction,,11.0,126.3,1389.3,1389.3,1,,
CLM-98002,Franchise_FL_04,Baseboard Replacement,2025-02-06,34.0,130.75,4445.5,4445.5,1,2.0,3.0
CLM-79344,Franchise_NY_12,Drywall Repair,,23.0,36.25,833.75,833.75,1,,
CLM-47851,Franchise_FL_04,Baseboard Replacement,2025-12-22,33.0,79.91,2637.03,2637.03,1,12.0,0.0
CLM-91513,Franchise_FL_04,Antimicrobial Treatment,2025-09-27,49.0,83.72,4102.28,4102.28,1,9.0,5.0
CLM-87454,Franchise_FL_04,Dehumidifier Rental,2025-06-29,33.0,71.71,2366.43,2366.43,1,6.0,6.0
CLM-32335,Franchise_TX_01,Baseboard Replacement - MISC,,33.0,87.47,2886.51,2886.51,1,,
CLM-32644,Franchise_NY_12,Drywall Repair,,25.0,61.0,1525.0,1525.0,1,,
CLM-52588,Franchise_FL_04,Antimicrobial Treatment,2025-12-22,43.0,142.6,6131.8,5035.92,0,12.0,0.0
CLM-68484,Franchise_NY_12,Drywall Repair,,14.0,110.46,1546.44,997.94,0,,
CLM-27906,Franchise_TX_01,Antimicrobial Treatment - MISC,,37.0,18.55,686.35,686.35,1,,
CLM-23394,Franchise_NY_12,Drywall Repair,,1.0,136.73,136.73,136.73,1,,
CLM-73135,Franchise_TX_01,Dehumidifier Rental - MISC,,5.0,131.38,656.9,656.9,1,,
CLM-38191,Franchise_TX_01,Water Extraction,,19.0,53.13,1009.47,484.79,0,,
CLM-97498,Franchise_NY_12,Dehumidifier Rental,,36.0,40.86,1470.96,1315.31,0,,
CLM-32043,Franchise_NY_12,Baseboard Replacement,,9.0,17.77,159.93,159.93,1,,
CLM-77124,Franchise_FL_04,Water Extraction,2025-12-18,1.0,108.41,108.41,108.41,1,12.0,3.0
CLM-36710,Franchise_FL_04,Dehumidifier Rental,2025-01-05,5.0,16.34,81.7,50.96,0,1.0,6.0
