claim_id,date_submitted,franchise_id,item_category,quantity,requested_total,carrier_approved_total,target_outcome,rate,unit_price,qty
CLM-26559,2025-12-12,Franchise_FL_04,Drywall Repair,30.0,2316.9,2316.9,1,77.23,,
CLM-95512,"July 16, 2025",Franchise_TX_01,Dehumidifier Rental,1.0,60.65,51.29,0,,60.65,
CLM-17238,09/10/2025,Franchise_NY_12,Baseboard Replacement,,2086.98,1823.07,0,,$99.38,21.0
CLM-90068,"August 17, 2025",Franchise_TX_01,Dehumidifier Rental,41.0,4125.83,4125.83,1,,100.63,
CLM-47333,"June 22, 2025",Franchise_TX_01,Antimicrobial Treatment,18.0,2465.28,2465.28,1,,136.96,
CLM-42011,"October 01, 2025",Franchise_TX_01,Baseboard Replacement,13.0,459.94,269.86,0,,35.38,
CLM-57921,12/17/2025,Franchise_NY_12,Dehumidifier Rental,,756.16,756.16,1,,$47.26,16.0
CLM-17570,2025-12-05,Franchise_FL_04,Dehumidifier Rental,49.0,4407.06,2142.76,0,89.94,,
CLM-64522,"November 11, 2025",Franchise_TX_01,Dehumidifier Rental,11.0,917.29,531.03,0,,83.39,
CLM-71854,2025-08-04,Franchise_FL_04,Water Extraction,15.0,1762.8,1281.25,0,117.52,,
CLM-99654,"December 30, 2025",Franchise_TX_01,Antimicrobial Treatment,28.0,634.2,634.2,1,,22.65,
CLM-28940,08/21/2025,Franchise_NY_12,Dehumidifier Rental,,1237.5,1237.5,1,,$24.75,50.0
CLM-36411,2025-06-16,Franchise_FL_04,Antimicrobial Treatment,45.0,2374.2,2374.2,1,52.76,,
CLM-67162,2025-06-24,Franchise_FL_04,Antimicrobial Treatment,39.0,3766.23,3766.23,1,96.57,,
CLM-63961,2025-02-13,Franchise_FL_04,Water Extraction,34.0,3478.2,1471.44,0,102.3,,
CLM-63742,"December 11, 2025",Franchise_TX_01,Dehumidifier Rental,1.0,23.0,23.0,1,,23.0,
CLM-56511,2025-12-10,Franchise_FL_04,Baseboard Replacement,11.0,,204.57,0,44.11,,
CLM-92929,2025-12-09,Franchise_FL_04,Baseboard Replacement,44.0,1678.6,896.56,0,38.15,,
CLM-66128,2025-01-28,Franchise_FL_04,Dehumidifier Rental,23.0,856.06,856.06,1,37.22,,
CLM-73828,02/04/2025,Franchise_NY_12,Baseboard Replacement,,1244.2,1050.2,0,,$124.42,10.0
CLM-35261,"January 17, 2025",Franchise_TX_01,Antimicrobial Treatment - MISC,24.0,1614.24,1614.24,1,,67.26,
CLM-90039,04/27/2025,Franchise_NY_12,Drywall Repair,,677.84,460.3,0,,$84.73,8.0
CLM-87933,2025-07-03,Franchise_FL_04,Water Extraction,25.0,1811.25,1811.25,1,72.45,,
CLM-81917,03/17/2025,Franchise_NY_12,Water Extraction,,612.36,612.36,1,,$22.68,27.0
CLM-59741,"March 29, 2025",Franchise_TX_01,Dehumidifier Rental - MISC,21.0,2589.3,1170.75,0,,123.3,
CLM-19376,"March 30, 2025",Franchise_TX_01,Dehumidifier Rental,41.0,3766.26,2139.61,0,,91.86,
CLM-56973,"August 23, 2025",Franchise_TX_01,Water Extraction,1.0,119.08,119.08,1,,119.08,
CLM-48129,04/08/2025,Franchise_NY_12,Water Extraction,,7129.99,7129.99,1,,$145.51,49.0
